ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PPS,ALEXANDRE CÁSSIO GONÇALVES,ALEXANDRE GONÇALVES,23001,,DEFERIDO,SUPLENTE,254
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PT,ROSA MARIA DE MIRANDA,ROSA MIRANDA,13622,,DEFERIDO,SUPLENTE,253
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PTB,CLAUDIO CALAZANS CAMARGO,PROFESSOR CALAZANS CAMARGO,14600,,DEFERIDO,NÃO ELEITO,251
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSTU,RENATO BENTO LUIZ,RENATÃO,16661,,DEFERIDO,NÃO ELEITO,247
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PHS,LINO BISPO DA ROCHA,LINO BISPO,31100,,DEFERIDO,ELEITO,244
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PPS,SÉRGIO DE OLIVEIRA,SERGIO DA GG,23789,,DEFERIDO,SUPLENTE,244
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PMN,PAULO ALBERTO MORAES CALDAS,PAULO ALBERTO,33310,,DEFERIDO,SUPLENTE,244
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PT,AILTON LAURENTINO,LAURENTINO DA PETROBRAS,13123,,DEFERIDO,SUPLENTE,244
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PV,JOSÉ RODOLFO DOS SANTOS,IRMÃO RODOLFO,43012,,DEFERIDO,NÃO ELEITO,242
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PSTU,ERNESTO GRADELLA NETO,GRADELLA,16161,,DEFERIDO,NÃO ELEITO,241
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PT,ANA MARIA DE JESUS DE SOUZA BARRIO,DRª ANA MARIA,13013,,DEFERIDO,SUPLENTE,238
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PT,GILSON APARECIDO DOS SANTOS,DRº GILSON DOS SANTOS,13190,,DEFERIDO,SUPLENTE,238
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PT,RUBENS AMARAL BORDIERI,PASTOR RUBENS BORDIERI,13007,,DEFERIDO,SUPLENTE,238
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PFL,RODOLFO CHRISTIAN MINAS,DODÔ,25943,,DEFERIDO,SUPLENTE,237
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSDC,ROSALVO APARECIDO BATISTA,PASTOR ROSALVO BATISTA,27700,,DEFERIDO,NÃO ELEITO,237
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PPS,ALEXANDRE CÁSSIO GONÇALVES,ALEXANDRE GONÇALVES,23001,,DEFERIDO,SUPLENTE,237
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PMN,JOÃO MOREIRA DOS SANTOS,JOÃO MOREIRA,33133,,DEFERIDO,SUPLENTE,236
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PMN,ROBERTO ALEXANDER DE OLIVEIRA GONÇALVES,ROBERTO GONÇALVES,33000,,DEFERIDO,SUPLENTE,235
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSB,TSAI YANG TANG,TANG,40800,,DEFERIDO,SUPLENTE,234
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PT,MARIA IZELIA DA CONCEIÇÃO,IZELIA,13620,,DEFERIDO,SUPLENTE,234
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSTU,ANTONIO DONIZETE FERREIRA,TONINHO,16616,,DEFERIDO,NÃO ELEITO,234
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PMN,RODERSON PEREIRA FERREIRA,RODERSON PEREIRA,33333,,DEFERIDO,SUPLENTE,234
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PT,SANDRA REGINA DOS SANTOS,SANDRA,13313,,DEFERIDO,SUPLENTE,231
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PSDB,NELSON BORGES MOREIRA,NELSON BORGES,45000,,DEFERIDO,SUPLENTE,230
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PT,WAGNER OCIMAR BALIEIRO,WAGNER BALIEIRO,13200,,DEFERIDO,ELEITO,228
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PV,JOÃO MANUEL FARIA SIMÕES DE CARVALHO MAIO,DOUTOR MANUEL DO PV,43043,,DEFERIDO,NÃO ELEITO,228
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PT,AMELIA NAOMI OMURA,AMELIA,13500,,DEFERIDO,ELEITO,228
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PT,ANA MARIA DE JESUS DE SOUZA BARRIO,DRª ANA MARIA,13013,,DEFERIDO,SUPLENTE,226
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSB,ANDERSON MEDEIROS DE OLIVEIRA,ANDERSON MEDEIROS,40040,,DEFERIDO,SUPLENTE,226
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PL,JOSÉ ROBERTO DA SILVA,CAJU DO TRAILLER,22050,,DEFERIDO,SUPLENTE,225
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSTU,ERNESTO GRADELLA NETO,GRADELLA,16161,,DEFERIDO,NÃO ELEITO,224
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PFL,ROZARIA MARQUES DE PAIVA MELO,ROZÁRIA,25900,,DEFERIDO,SUPLENTE,222
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSB,DULCE RITA CHAVES DE ANDRADE DABKIWICZ,DULCE RITA,40400,,DEFERIDO,ELEITO,222
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PMN,JOSÉ LUÍS NUNES DO COUTO,ZÉ LUÍS,33033,,DEFERIDO,ELEITO,220
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSDB,JOSÉ ANGELO ANTONIO TRALLI,JOSÉ ANGELO TRALLI,45011,,DEFERIDO,SUPLENTE,220
