ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PSDB,EMANUEL FERNANDES,EMANUEL FERNANDES,45,,DEFERIDO,ELEITO,47580
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PSDB,EMANUEL FERNANDES,EMANUEL FERNANDES,45,,DEFERIDO,ELEITO,42851
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PSDB,EMANUEL FERNANDES,EMANUEL FERNANDES,45,,DEFERIDO,ELEITO,39192
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PT,ANGELA MORAES GUADAGNIN,ANGELA GUADAGNIN,13,,DEFERIDO,NÃO ELEITO,29431
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PT,ANGELA MORAES GUADAGNIN,ANGELA GUADAGNIN,13,,DEFERIDO,NÃO ELEITO,26330
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PSDB,EMANUEL FERNANDES,EMANUEL FERNANDES,45,,DEFERIDO,ELEITO,21395
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PT,ANGELA MORAES GUADAGNIN,ANGELA GUADAGNIN,13,,DEFERIDO,NÃO ELEITO,20123
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PT,ANGELA MORAES GUADAGNIN,ANGELA GUADAGNIN,13,,DEFERIDO,NÃO ELEITO,20119
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PDT,ANIBAL MONTEIRO DE CASTRO,ANIBAL MONTEIRO DE CASTRO,12,,DEFERIDO,NÃO ELEITO,3762
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PDT,ANIBAL MONTEIRO DE CASTRO,ANIBAL MONTEIRO DE CASTRO,12,,DEFERIDO,NÃO ELEITO,3619
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PDT,ANIBAL MONTEIRO DE CASTRO,ANIBAL MONTEIRO DE CASTRO,12,,DEFERIDO,NÃO ELEITO,2880
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PDT,ANIBAL MONTEIRO DE CASTRO,ANIBAL MONTEIRO DE CASTRO,12,,DEFERIDO,NÃO ELEITO,2032
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PSTU,ERNESTO GRADELLA NETO,GRADELLA,16,,DEFERIDO,NÃO ELEITO,1551
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PSTU,ERNESTO GRADELLA NETO,GRADELLA,16,,DEFERIDO,NÃO ELEITO,1247
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PSTU,ERNESTO GRADELLA NETO,GRADELLA,16,,DEFERIDO,NÃO ELEITO,926
2000,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PSTU,ERNESTO GRADELLA NETO,GRADELLA,16,,DEFERIDO,NÃO ELEITO,759
